fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
10;48;24;27;102;13;32;1;328;56;10
91;22;24;21;78;1;28;999;341;87;103
99;63;24;24;77;6;33;9974;309;57;94
81;825;24;21;84;5;13;9972;337;77;107
129;35;49;58;66;5;35;10014;32;66;12
112;5;74;515;1;5;17;9996;322;62;112
92;59;24;33;101;20;47;9988;326;67;96
95;46;49;63;64;5;17;9988;321;73;11
93;715;24;21;7;5;20;9966;312;59;99
112;66;24;25;85;16;53;9993;306;72;11
143;31;74;18;75;6;15;10008;286;79;84
91;47;49;26;94;38;106;9982;308;59;91
75;55;24;2;78;10;28;9983;345;78;95
106;31;49;25;67;6;21;9987;326;86;107
124;35;49;26;79;27;69;9994;312;75;104
9;53;49;19;171;6;25;9975;327;61;94
68;51;1;21;74;9;25;9958;333;56;95
94;43;24;28;92;14;45;998;319;73;10
95;46;24;27;92;14;44;998;312;74;10
5;104;24;16;5;32;96;9934;374;62;115
155;645;49;42;95;10;23;100315;292;74;111
155;645;49;42;95;10;23;100315;292;74;111
109;53;49;46;118;10;17;10002;307;56;117
156;645;49;42;95;10;23;100315;292;74;111
109;53;49;46;118;10;17;10002;307;56;117
13;47;49;43;85;6;47;10021;33;68;127
127;6;49;28;75;5;19;9994;314;57;114
9;44;49;24;78;26;121;9978;323;58;92
9;54;49;29;94;41;110;9982;308;61;92
76;29;49;27;92;25;60;9971;331;61;101
13;47;49;43;85;6;47;10021;33;68;127
127;6;49;28;75;5;19;9994;314;57;114
87;7;24;25;226;5;15;9991;332;6;9
87;7;24;25;226;5;15;9991;332;6;9
98;5;49;26;25;5;20;999;331;79;107
62;36;24;22;95;19;42;9946;357;57;117
115;35;49;33;7;10;37;10003;332;91;11
62;36;24;22;95;19;42;9946;357;57;117
102;24;49;24;75;10;28;9978;314;61;104
105;59;49;21;7;14;47;9991;33;56;96
106;34;49;32;78;20;78;9992;319;7;10
123;27;49;31;79;28;46;9993;32;8;102
99;5;24;23;103;6;14;9978;334;52;10
88;44;49;28;83;18;111;9982;33;6;95
88;47;49;29;85;17;110;9982;329;6;98
106;31;49;22;63;18;40;9976;314;51;98
123;5;49;22;89;5;14;10002;319;44;96
123;5;49;22;89;5;14;10002;319;44;96
117;49;49;22;83;5;15;1;319;43;92
12;28;49;19;74;10;21;9976;298;66;99
118;33;49;34;93;54;80;10002;33;76;107
76;51;24;24;91;8;38;998;347;66;96
111;31;49;27;94;16;47;9986;312;102;106
73;73;24;19;108;18;102;9967;326;59;93
5;42;24;2;6;19;50;9917;372;74;14
102;29;49;26;59;5;13;9976;305;74;105
9;45;49;26;84;21;75;9987;335;57;97
66;39;49;17;7;23;149;9922;312;5;115
9;45;49;26;84;21;75;9987;335;57;97
99;49;58;35;94;9;43;10004;329;58;9
79;72;17;26;96;20;38;9978;34;53;95
89;595;41;79;86;30;109;9998;327;57;93
124;4;51;2;59;6;24;9994;304;6;93
119;58;58;19;71;5;18;998;309;63;10
85;585;18;21;78;5;30;9967;32;48;98
127;59;45;23;82;11;22;1;3;7;93
82;915;27;21;88;7;23;9962;326;47;10
132;46;52;22;71;12;35;10006;31;56;9
77;835;0;26;81;6;14;9975;33;52;93
132;46;52;22;71;12;35;10006;31;56;9
83;58;13;29;96;14;63;9984;317;62;91
83;6;13;26;85;6;24;9984;331;59;92
94;41;48;46;72;10;20;9973;334;79;122
88;48;41;33;92;26;52;9982;331;53;105
101;65;37;51;11;11;65;10026;332;64;104
63;36;19;32;75;15;39;9956;356;52;127
88;24;54;25;83;25;57;9983;339;54;92
132;38;55;27;81;5;16;10006;298;54;94
75;64;0;24;77;18;29;9965;332;6;10
82;39;38;15;58;10;29;9962;326;74;98
92;755;18;22;148;10;103;9969;287;136;102
96;6;5;23;79;28;71;9997;35;57;97
96;6;5;23;79;28;71;9997;35;57;97
115;31;51;22;79;14;28;9982;303;93;98
114;46;5;27;122;4;17;10006;313;7;102
113;37;41;23;88;6;16;9988;309;8;93
83;54;24;34;76;16;112;9976;327;61;94
82;56;23;34;78;14;104;9976;328;62;94
10;58;22;19;8;9;32;9974;313;55;95
79;51;25;29;77;21;45;9974;349;96;121
68;69;0;56;124;21;58;9997;346;72;102
68;69;0;56;124;21;58;9997;346;72;102
88;6;29;22;98;5;15;9988;336;49;91
88;6;29;22;98;5;15;9988;336;49;91
87;54;26;25;97;7;31;9976;327;6;93
76;685;23;23;111;20;84;9964;321;61;93
87;54;26;25;97;7;31;9976;327;6;93
104;28;54;27;105;5;19;9988;325;63;95
76;41;14;3;87;21;43;9964;332;57;105
101;935;22;34;105;11;86;1001;343;64;113
79;35;21;19;73;46;102;9964;327;58;95
87;84;0;14;65;24;33;9954;327;55;97
96;88;28;24;86;30;147;9979;324;53;94
95;885;27;23;84;31;145;9978;324;53;94
77;915;12;22;143;7;23;9964;335;65;102
89;29;35;19;67;25;57;997;318;136;103
99;54;45;23;71;16;40;9991;339;62;94
95;59;44;23;71;21;68;9992;346;63;95
99;54;45;23;71;16;40;9991;339;62;94
95;59;44;23;71;21;68;9992;346;63;95
99;54;45;23;71;16;40;9991;339;62;94
78;64;1;6;115;5;11;9984;337;69;101
73;67;5;36;107;6;20;9972;34;63;101
83;845;1;22;7;5;14;9967;332;58;11
87;48;3;28;66;10;28;9964;333;67;112
67;42;27;86;68;24;148;9948;316;57;113
107;43;39;22;106;8;32;9986;289;5;96
98;88;25;25;104;35;155;1001;341;67;112
159;36;65;75;96;22;71;9976;298;84;149
94;33;59;28;79;9;30;9976;312;54;12
86;47;47;24;74;7;29;9979;308;46;95
97;55;17;29;87;20;53;10004;314;61;94
107;43;39;22;106;8;32;9986;289;5;96
12;5;59;14;73;23;42;998;292;68;105
72;52;7;14;74;5;20;9973;332;81;96
71;84;2;44;96;5;13;997;341;57;11
72;52;7;14;74;5;20;9973;332;81;96
75;42;31;16;8;15;42;9978;331;64;9
72;57;6;16;76;9;27;9972;336;7;96
101;28;46;18;5;5;13;9974;304;79;102
121;4;52;2;92;15;54;1;303;66;102
94;59;14;2;84;25;48;9981;314;56;97
83;49;36;18;222;6;16;998;318;6;95
113;34;45;2;82;6;15;9988;294;66;92
10;73;43;23;59;15;31;9966;315;57;11
113;34;45;2;82;6;15;9988;294;66;92
69;4;24;25;83;30;45;9959;326;58;10
82;73;21;17;74;5;13;9968;32;52;95
98;124;34;2;79;32;151;998;315;53;95
82;73;21;17;74;5;13;9968;32;52;95
108;4;41;22;84;7;17;9984;308;67;93
93;41;39;22;64;12;31;9984;326;65;102
108;4;41;22;84;7;17;9984;308;67;93
86;8;11;23;84;12;31;9979;34;48;99
83;78;1;26;81;45;87;9983;348;53;10
108;26;45;33;6;20;49;9972;313;54;96
133;43;58;19;7;15;40;10004;306;49;9
8;45;23;22;94;16;29;9962;321;49;102
85;46;31;225;78;32;58;998;333;54;98
81;78;23;26;59;5;15;997;337;56;113
98;98;32;23;78;35;152;998;325;48;94
81;78;23;26;59;5;15;997;337;56;113
71;65;18;18;7;13;40;997;344;6;91
91;64;23;31;95;13;38;9998;328;59;97
77;66;4;16;39;4;9;9962;34;47;94
81;38;48;18;157;5;17;9976;33;105;94
74;1185;0;425;97;5;14;9966;363;54;107
92;92;24;26;87;12;93;9998;348;54;98
86;49;51;2;422;16;62;9979;303;117;9
9;48;32;28;84;21;122;9984;332;62;94
9;47;31;27;84;24;125;9984;331;61;94
51;47;2;13;34;18;44;9921;39;62;128
7;65;2;21;66;8;25;9972;347;67;95
7;65;2;21;66;8;25;9972;347;67;95
94;615;28;32;87;18;72;10001;331;53;97
118;38;55;21;71;5;19;9986;311;62;108
106;102;43;29;76;26;88;9984;308;57;101
7;65;2;21;66;8;25;9972;347;67;95
7;64;2;21;67;9;23;997;347;67;94
75;38;48;26;73;22;84;9972;332;7;96
91;765;4;16;78;4;14;998;329;54;97
84;1035;15;6;73;11;54;999;337;49;99
7;78;8;2;93;10;19;9956;34;47;10
74;49;19;3;77;16;37;9966;337;51;105
78;545;12;25;68;11;35;996;334;61;116
97;31;47;16;62;13;33;9983;327;66;10
106;1025;43;28;8;21;84;9985;306;57;101
89;565;34;3;93;16;112;9998;338;61;95
87;69;0;32;84;13;33;9992;336;45;94
8;43;36;23;75;10;48;9976;334;46;94
99;74;28;26;78;21;77;998;328;51;98
72;49;18;27;69;13;34;9967;329;48;92
8;43;36;23;75;10;48;9976;334;46;94
76;46;11;26;79;12;49;9968;321;57;10
84;56;4;2;82;10;22;9976;322;44;96
71;66;0;39;86;17;45;9976;346;54;95
84;56;4;2;82;10;22;9976;322;44;96
89;48;24;285;94;35;106;9982;31;53;92
76;42;8;27;84;15;48;9968;321;59;10
71;31;3;22;53;36;127;9965;294;162;95
75;1115;1;31;86;5;12;9958;354;6;112
9;66;17;3;77;5;13;9976;329;55;104
81;72;9;28;84;18;49;9994;343;72;111
64;57;2;18;67;4;11;997;346;68;95
64;57;2;18;67;4;11;997;346;68;95
64;865;3;32;71;27;58;995;361;49;127
95;55;66;23;387;12;37;9982;317;67;96
89;875;13;345;88;4;14;9994;344;52;115
73;835;3;21;92;10;19;9966;339;47;96
7;45;34;27;82;16;72;998;355;6;95
77;56;2;2;75;9;39;9987;348;62;93
77;965;1;21;112;11;22;9963;326;5;95
77;965;1;21;112;11;22;9963;326;5;95
82;59;0;25;93;19;58;10002;35;65;93
9;46;23;28;92;28;104;9983;31;56;92
9;69;0;24;88;19;38;999;335;6;93
83;76;29;42;75;12;16;9965;345;68;115
92;53;24;26;78;28;139;99788;321;57;95
65;615;0;19;65;9;18;9972;346;65;92
116;41;58;28;96;25;101;100024;313;53;10
111;39;54;27;95;21;101;10001;313;51;95
73;51;18;21;7;12;28;99768;352;73;95
82;34;38;25;8;12;57;9978;33;47;9
86;33;4;26;83;16;68;99782;33;48;94
72;5;18;21;71;12;31;99761;352;72;96
73;51;18;21;7;12;28;99768;352;73;95
83;65;1;29;89;17;40;99803;329;55;95
83;65;1;29;89;17;40;99803;329;55;95
76;54;13;25;97;24;66;99785;339;61;94
83;65;1;29;89;17;40;99803;329;55;95
78;48;68;17;415;14;32;99656;309;106;91
78;91;7;19;58;22;47;99525;351;43;107
63;98;1;2;57;15;33;99488;36;46;112
81;87;0;22;84;10;31;99656;325;5;98
81;87;0;22;84;10;31;99656;325;5;98
88;42;21;25;92;33;88;99823;319;52;92
9;58;25;28;75;9;104;99779;323;57;97
93;655;26;2;96;5;35;99738;325;42;96
88;7;0;17;69;8;19;99701;331;53;10
93;655;26;2;96;5;35;99738;325;42;96
91;68;11;28;93;11;44;99888;331;55;95
92;67;1;3;91;12;48;99888;331;54;95
88;59;18;29;89;12;74;99738;314;54;94
75;6;32;27;103;13;98;99938;345;62;95
71;59;2;23;82;24;94;99744;355;53;97
79;72;1;19;76;7;32;99668;339;54;96
71;59;2;23;82;24;94;99744;355;53;97
94;685;26;24;82;23;143;9978;328;55;94
95;57;27;23;82;23;144;99782;327;55;94
79;4;29;18;157;1;44;9973;33;92;95
79;4;3;18;157;2;45;99727;331;91;95
72;1;0;3;102;7;16;99586;343;46;10
69;765;18;24;243;55;48;99612;34;6;103
69;635;17;24;241;6;18;9961;34;59;103
83;43;3;34;79;7;34;99788;336;61;105
71;52;3;26;76;21;92;99745;35;6;98
7;57;0;2;19;12;45;99676;331;6;94
65;46;14;24;114;9;37;99732;366;65;98
9;82;5;24;81;26;96;99814;336;53;10
65;46;14;24;114;9;37;99732;366;65;98
71;59;1;25;77;20;85;99746;355;59;98
99;35;41;23;83;11;61;9982;321;5;95
99;35;41;23;83;11;61;9982;321;5;95
10;56;24;22;79;19;58;9991;318;56;101
10;56;24;22;79;19;58;9991;318;56;101
86;63;17;29;99;21;119;998;309;52;93
74;37;43;26;82;18;82;99708;333;68;97
88;64;17;29;84;25;130;99818;323;54;96
71;61;2;25;81;17;87;99745;348;6;97
77;6;0;26;55;7;13;99639;338;56;108
101;27;54;23;65;7;26;99531;317;53;125
108;89;3;26;132;7;60;99786;299;118;102
87;46;31;25;126;24;64;99746;31;74;96
93;37;44;16;38;21;42;99526;324;81;108
94;5;34;36;82;5;14;9987;329;52;107
94;5;34;36;82;5;14;9987;329;52;107
72;61;8;4;82;26;108;99641;325;51;94
86;55;9;33;68;8;17;99735;323;44;10
51;585;0;17;44;14;86;99264;356;94;129
77;56;8;25;114;14;46;9971;324;66;96
84;52;22;27;84;4;18;99682;326;57;99
82;28;4;24;52;4;10;99356;333;7;128
84;25;39;2;41;4;10;99386;327;71;125
82;28;4;24;52;4;10;99356;333;7;128
74;53;12;19;165;4;12;99702;326;86;92
76;48;31;28;7;4;15;99693;322;55;103
73;49;1;26;68;4;14;99562;33;47;105
129;5;55;28;72;7;24;1,00E+16;309;68;109
108;45;33;25;99;20;38;99818;324;71;108
69;39;24;21;102;4;7;99462;344;58;114
126;41;54;28;103;19;41;99939;321;76;113
108;45;33;25;99;20;38;99818;324;71;108
98;51;19;32;81;8;30;9984;323;58;105
108;29;42;16;84;19;27;99545;328;73;119
71;715;0;235;71;21;47;99632;329;45;94
91;66;15;32;97;9;59;99976;328;54;96
7;685;0;19;99;9;22;99606;334;6;97
49;42;0;21;48;16;42;99154;371;74;14
67;54;13;2;76;15;36;9973;361;64;98
67;54;13;2;76;15;36;9973;361;64;98
71;48;28;28;68;6;16;99682;324;53;103
71;46;14;28;76;15;37;99624;336;49;107
75;27;34;23;5;4;8;9951;34;64;11
71;46;14;28;76;15;37;99624;336;49;107
78;57;9;23;65;34;45;99417;346;74;127
59;61;8;21;71;16;24;99376;356;77;111
75;685;7;25;58;5;9;99632;338;55;109
59;61;8;21;71;16;24;99376;356;77;111
104;44;42;15;145;34;48;99832;338;86;99
116;47;44;16;147;36;51;99836;338;86;99
88;685;26;16;88;16;23;99694;332;47;94
76;665;1;15;66;27;55;99655;339;51;93
67;28;28;24;12;36;100;99064;326;39;117
67;28;28;24;12;36;100;99064;326;39;117
101;31;35;16;75;9;28;99672;324;83;112
6;5;4;22;92;13;26;99647;346;47;10
111;42;47;265;85;9;34;99736;324;77;121
66;66;0;3;115;21;31;99629;345;63;103
106;5;45;26;119;34;68;99708;323;72;109
71;685;35;2;88;9;92;9963;328;62;94
99;25;46;17;62;26;42;9959;318;83;106
64;64;21;18;81;14;31;99689;359;66;98
64;64;21;18;81;14;31;99689;359;66;98
74;68;16;18;78;12;39;9977;35;7;99
64;64;21;18;81;14;31;99689;359;66;98
64;63;21;16;8;12;32;99689;358;66;98
93;43;44;19;85;9;22;99708;328;55;95
93;43;44;19;85;9;22;99708;328;55;95
8;42;32;25;8;26;122;99801;322;107;97
93;36;39;15;8;41;55;99652;347;73;109
93;36;39;15;8;41;55;99652;347;73;109
76;735;2;25;71;10;14;99538;351;71;117
93;36;39;15;8;41;55;99652;347;73;109
82;26;34;25;73;16;47;99594;34;78;113
117;28;47;17;54;17;32;99686;315;67;106
68;56;22;18;74;15;24;99438;34;82;112
72;62;6;27;77;15;85;99746;351;54;95
58;101;66;2;39;15;88;99357;366;6;115
75;42;32;27;67;7;25;99628;324;44;104
72;62;6;25;78;17;84;99746;351;53;97
72;62;6;27;77;15;85;99746;351;54;95
72;635;7;26;77;16;86;99748;351;54;97
68;49;22;23;71;13;24;99438;341;83;113
69;51;23;2;72;13;22;99438;34;84;112
68;56;22;18;74;15;24;99438;34;82;112
76;63;3;2;8;27;43;99578;344;64;109
77;715;1;21;64;31;43;99371;341;57;118
69;56;3;15;86;36;46;99522;353;57;106
73;35;24;2;67;28;48;99576;343;54;10
91;21;37;16;67;6;10;99552;323;58;111
104;38;46;21;104;6;10;99664;312;65;118
88;31;4;28;109;7;16;99614;331;79;118
71;47;0;22;67;7;14;99517;34;58;109
77;715;1;21;64;31;43;99371;341;57;118
88;61;19;4;94;30;69;99787;322;5;10
72;6;4;25;76;18;88;99745;353;55;95
92;56;18;16;78;10;21;99576;315;49;99
76;715;0;21;68;30;35;99533;348;65;114
84;31;29;31;194;14;26;99536;322;78;12
72;6;4;25;76;18;88;99745;353;55;95
88;61;19;4;94;30;69;99787;322;5;10
89;75;14;25;86;9;30;99824;334;64;105
9;8;12;24;83;8;28;99836;333;65;104
107;52;38;26;66;29;56;99577;315;79;121
68;57;0;25;72;32;64;99491;343;56;112
107;9;34;66;112;23;99;100289;322;68;93
72;34;24;2;71;30;52;99576;344;58;101
72;66;3;23;78;16;86;99743;353;57;97
101;45;23;19;82;10;18;99774;322;65;93
72;66;3;23;78;16;86;99743;353;57;97
72;63;3;22;8;17;88;99745;353;58;98
71;59;1;23;8;27;43;9955;342;58;107
83;31;39;24;78;17;43;99444;331;77;125
71;59;1;23;8;27;43;9955;342;58;107
83;31;39;24;78;17;43;99444;331;77;125
83;102;2;34;84;6;11;99892;348;49;11
89;31;36;26;56;10;39;99562;34;69;118
74;635;1;24;8;16;33;99736;358;69;108
74;635;1;24;8;16;33;99736;358;69;108
68;59;6;6;6;11;18;9962;341;59;108
68;59;6;6;6;11;18;9962;341;59;108
92;58;2;3;81;15;115;998;323;59;95
72;54;27;26;84;12;78;9964;339;71;11
61;56;0;22;79;6;9;9948;359;54;115
74;52;13;24;78;34;61;99528;343;59;108
73;305;39;12;59;7;11;99331;329;52;115
93;38;48;38;132;3;11;99577;323;57;132
91;28;46;9;114;3;9;99901;318;6;109
10;46;44;29;65;4;8;99674;333;62;122
94;395;46;46;94;3;10;99639;327;64;122
73;305;39;12;59;7;11;99331;329;52;115
86;315;4;22;79;3;6;99512;327;67;119
53;715;19;15;161;7;62;99395;362;61;11
68;41;31;88;84;26;45;99824;338;64;101
84;36;32;22;81;32;79;9964;33;72;11
84;62;12;18;72;38;46;99504;338;89;118
96;41;37;23;91;10;23;99786;324;56;105
84;36;32;22;81;32;79;9964;33;72;11
84;62;12;18;72;38;46;99504;338;89;118
68;41;31;88;84;26;45;99824;338;64;101
86;47;27;23;55;14;28;99516;318;8;112
86;22;36;19;64;53;77;99604;347;87;11
94;24;33;23;61;52;73;99786;347;9;102
84;67;19;22;93;11;75;99736;32;59;92
86;47;27;23;55;14;28;99516;318;8;112
87;33;38;33;63;10;19;99468;33;73;12
66;61;1;19;8;8;25;99746;369;73;105
74;61;1;2;74;13;38;99748;348;65;98
76;4;29;19;78;29;66;9971;345;59;95
74;61;1;2;74;13;38;99748;348;65;98
66;61;1;19;8;8;25;99746;369;73;105
88;3;38;23;6;19;72;99543;339;72;118
88;3;38;23;6;19;72;99543;339;72;118
12;63;5;14;71;6;26;99791;307;6;104
72;38;38;28;68;23;42;99356;334;72;129
62;46;17;16;73;7;11;99425;361;54;114
96;33;52;22;74;13;25;99509;336;76;124
99;27;49;5;82;9;17;99484;319;52;125
101;43;4;26;92;13;52;99834;322;64;10
98;5;34;23;94;10;45;99864;324;6;97
83;3;49;38;9;11;24;99498;327;64;121
102;44;42;2;71;7;20;99566;314;79;111
102;44;58;41;92;11;24;99745;329;99;12
83;28;48;21;93;6;12;99408;326;62;124
89;12;45;18;75;10;21;99552;341;76;119
89;12;45;18;75;10;21;99552;341;76;119
89;12;45;18;75;10;21;99552;341;76;119
83;28;48;21;93;6;12;99408;326;62;124
82;31;4;22;58;6;10;99536;331;68;112
102;34;48;21;52;5;9;99458;32;69;121
76;43;4;27;82;6;11;99538;344;54;122
85;21;52;19;9;9;23;99648;336;67;104
9;36;52;21;111;5;10;99568;331;62;113
95;37;52;2;88;12;51;99613;329;58;111
64;57;12;23;12;25;36;99519;347;71;113
8;59;5;2;89;12;32;99735;336;61;10
85;47;27;19;58;18;38;99518;316;85;111
71;56;14;16;78;7;18;99592;327;62;93
66;57;2;21;115;6;16;99654;338;69;95
88;27;39;2;1;20;27;99546;315;69;112
85;47;27;19;58;18;38;99518;316;85;111
83;34;4;24;65;24;48;99554;334;86;11
9;38;41;24;103;6;10;99604;313;58;119
85;66;2;21;97;23;113;99733;313;48;92
9;4;43;24;68;29;46;9943;32;6;122
67;56;9;29;79;7;22;99669;346;61;102
104;26;48;19;66;6;10;99724;333;87;109
104;26;48;19;66;6;10;99724;333;87;109
101;38;5;24;104;6;13;99643;322;65;116
85;34;44;17;79;6;12;99605;352;63;107
88;33;41;59;73;7;13;99658;33;62;121
72;41;3;21;83;35;72;997;344;52;94
72;41;3;21;83;35;72;997;344;52;94
84;59;29;26;109;31;119;99801;315;5;91
7;4;32;36;61;9;29;99416;328;49;113
122;45;49;14;75;3;6;9969;313;63;104
91;5;3;19;65;8;17;99774;332;71;105
95;86;26;19;79;13;28;99712;325;62;10
73;52;32;21;7;51;70;99418;334;82;129
91;5;3;19;65;8;17;99774;332;71;105
122;45;49;14;75;3;6;9969;313;63;104
74;58;0;2;64;7;11;99562;345;58;113
98;34;39;14;66;3;7;9947;319;55;114
71;36;3;16;8;35;70;99693;344;5;94
77;39;12;17;97;19;27;99596;316;49;94
97;295;4;15;73;14;21;99556;314;51;109
77;39;12;17;97;19;27;99596;316;49;94
71;34;28;2;82;31;68;99694;345;48;94
65;4;1;2;76;30;47;99554;336;48;94
71;34;28;2;82;31;68;99694;345;48;94
10;35;45;25;92;20;88;99918;315;43;94
77;6;6;2;79;19;41;99697;339;62;101
56;66;0;22;87;3;11;99378;371;63;128
56;66;0;22;87;3;11;99378;371;63;128
89;84;34;14;5;4;10;99554;312;48;91
64;69;0;165;55;7;12;99162;347;53;129
75;43;3;22;62;6;12;99495;344;72;115
99;35;38;15;58;31;47;99676;326;82;106
91;29;33;205;63;13;27;99516;326;84;117
68;36;32;18;67;4;8;9928;336;55;128
82;43;29;16;81;27;45;99603;325;54;103
68;36;32;18;67;4;8;9928;336;55;128
91;29;33;205;63;13;27;99516;326;84;117
91;3;34;2;64;12;25;99516;326;84;117
89;35;4;36;11;12;24;99549;323;7;12
96;5;36;28;116;26;55;99722;318;68;109
89;28;45;17;67;7;12;99354;325;55;123
89;32;31;2;88;12;19;9957;317;55;104
77;1005;15;21;102;11;32;99604;323;48;10
75;71;0;16;92;22;31;99635;338;58;10
8;58;16;2;12;3;7;99454;322;58;112
105;39;46;22;75;14;27;99598;306;84;114
89;38;4;22;68;12;28;99486;327;75;126
8;18;37;9;49;36;109;99007;289;44;127
8;18;37;9;49;36;109;99007;289;44;127
7;5;14;18;78;10;23;99636;353;61;104
113;36;66;24;123;3;8;99642;32;53;119
113;36;66;24;123;3;8;99642;32;53;119
7;51;9;21;62;4;9;99584;335;54;105
82;32;42;23;98;3;9;99506;327;55;123
77;58;1;18;88;12;18;99568;332;56;105
86;83;0;28;95;17;43;99822;333;6;104
79;31;32;19;66;14;36;99364;341;56;126
64;795;0;22;65;28;52;99378;349;52;116
72;34;21;25;75;41;68;99586;337;54;101
77;58;1;18;88;12;18;99568;332;56;105
71;59;0;21;91;9;14;99488;342;55;115
73;55;1;18;93;9;15;99514;335;58;11
81;82;0;41;95;5;14;99854;336;53;96
75;57;8;26;89;14;27;99592;33;59;104
89;745;18;25;77;15;48;99739;32;47;97
101;37;34;24;85;5;17;99683;317;65;106
76;31;34;25;82;26;35;99356;322;59;125
73;91;1;18;74;20;56;99672;335;56;92
87;41;41;62;78;25;42;9953;324;77;126
89;5;21;22;88;21;39;99692;333;83;111
74;965;0;22;88;16;32;99756;358;67;102
69;49;19;17;79;13;26;99547;338;64;98
89;5;21;22;88;21;39;99692;333;83;111
95;39;41;89;69;18;39;99859;329;81;109
64;39;33;33;46;12;53;99294;336;62;122
69;44;0;14;7;32;38;99438;332;58;114
76;78;0;17;76;33;45;99612;331;62;107
71;43;17;18;82;27;51;99634;349;64;104
93;49;36;17;81;3;14;99702;327;78;109
93;5;36;18;84;6;17;99704;327;77;108
71;43;17;18;82;27;51;99634;349;64;104
85;46;59;14;414;16;45;99702;303;134;92
56;605;5;24;73;19;25;99258;356;55;129
83;33;42;23;7;9;20;99426;338;77;127
82;64;27;2;95;5;77;99747;313;62;91
82;64;27;2;95;5;77;99747;313;62;91
89;48;53;4;101;3;10;99586;321;59;121
76;42;25;39;104;28;90;99784;315;57;91
99;53;57;24;93;30;52;9971;319;76;116
89;48;53;4;101;3;10;99586;321;59;121
116;23;57;18;74;3;8;9981;314;7;99
91;4;5;18;71;7;16;99462;321;69;125
8;38;44;19;98;6;15;9956;33;64;114
102;29;65;24;75;6;17;99565;322;63;118
82;74;9;2;67;5;10;99418;328;57;118
77;61;18;24;83;6;20;9963;329;6;102
66;52;8;24;7;13;26;99358;34;72;125
